city,floor,id,lat,lng,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_name,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,per_square_meter_price,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,region,total_square,street,date,realty_type,price_type
Екатеринбург,,COL_1268,56.84324940618911,60.64666744026986,6,122,179,283,0,0,0,0,2,27,35,50,2.232314162661118,Екатеринбург,1468833.0,0.1216810795888919,0,22,32,63,0,2,2,6,3,4,8,15,3,7,14,3,7,11,3,3,4,3,4,9,2,9,14,18,2,82,114,179,1.2133121510480316,0.6939982354066179,0,0,0,0.1003018886128847,21,33,53,38673.10787802743,122,32,2148.0,668.0,5.277310924369748,4.25,1963.0082644628087,1959.3125,Свердловская область,275.95403073522874,S12711,2020-01-05,10,1
Красноярск,,COL_1286,56.112910115930994,92.92117643380158,0,7,15,23,0,0,0,0,0,1,2,2,11.577324173741092,Красноярск,1095286.0,0.1513644506754758,0,7,14,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,4,0,1,1,1,0,3,6,12,6.898648977518714,5.7760886441243935,0,0,0,0.4524417905021936,2,3,5,34954.2684927868,42,16,1708.0,706.0,10.17948717948718,9.875,1997.3589743589744,1993.4375,Красноярский край,326.4265136131967,S1700,2020-01-05,110,1
Арзамас,,COL_1539,55.40184322043435,43.82983669273585,1,36,57,74,0,0,0,1,0,8,12,12,0.6496385109390405,Арзамас,103979.0,0.1014501666956923,0,11,18,27,0,0,1,2,0,4,7,9,1,2,2,1,5,9,1,1,1,1,1,2,0,5,5,6,1,21,31,40,93.3871439896982,2.0298331073326974,0,0,0,0.1335774746832232,10,17,23,52734.162254113086,125,50,1700.0,729.0,4.091666666666667,4.104166666666667,1969.7107438016528,1966.229166666667,Нижегородская область,227.8788452558136,S12711,2020-01-05,10,1
Иркутск,,COL_1766,52.25632164428757,104.23588385471258,0,3,8,13,0,0,0,0,0,0,0,0,4.995883553518032,Иркутск,623562.0,0.6390821857207589,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,3,5,64.35088280791122,1.103363509988874,0,0,0,0.1331263721813678,8,11,12,45228.16332694475,192,70,3005.0,1446.0,7.345238095238094,6.730158730158732,1992.5443786982248,1987.3076923076928,Иркутская область,423.4529680445849,S8618,2020-01-05,10,1
Пермь,,COL_1792,58.0021965517477,56.21145730120039,2,35,89,150,0,0,0,1,0,7,22,33,2.3433789830550995,Пермь,1055397.0,0.0700216470088369,4,21,59,99,0,0,1,1,0,3,5,11,3,7,12,0,0,2,1,1,4,2,3,4,0,6,8,18,2,20,50,80,273.3150108047243,1.141626806548393,0,0,0,0.0648914440069921,3,18,32,57768.27402483774,166,55,3099.0,1251.0,5.910828025477708,6.452830188679246,1966.9182389937107,1969.4545454545453,Пермский край,2244.5018860049663,S12176,2020-01-05,110,1
Калининград,-1.0,COL_1812,54.73270749477909,20.470205609492726,12,44,65,140,0,0,1,1,2,6,7,23,3.680508417774509,Калининград,453461.0,0.1828409877587309,0,6,28,71,0,0,0,1,0,1,1,1,2,4,6,1,3,6,2,2,3,0,5,5,0,1,2,6,8,29,38,86,815.9781823736838,2.367947278891463,0,0,0,0.1009985210329595,5,15,29,51916.02712572528,262,80,2933.0,887.0,4.044354838709677,4.108108108108108,1962.437984496124,1965.3417721518988,Калининградская область,111.19880159588293,S6246,2020-01-05,10,1
Брянск,,COL_2505,53.21268379840204,34.40805649995738,0,6,12,15,0,0,0,0,0,0,0,0,4.148478656912785,Брянск,406553.0,0.2687898502501096,0,3,4,8,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,9,9,328.98646405216874,0.1425162670960957,3,3,3,0.1024209229250526,3,6,8,57496.26040166572,126,30,1789.0,564.0,4.296,5.666666666666668,1971.15873015873,1980.2,Брянская область,45.98559943775753,S3849,2020-01-05,10,1
Канск,,COL_2643,56.25059288015135,95.69443810118965,0,3,9,14,0,0,0,0,0,1,1,1,176.78844049672642,Красноярск,1095286.0,0.4081977598900575,0,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,5,170.98975191088024,5.718783558870308,0,0,0,0.5385004002562804,1,1,2,32464.342666151144,67,21,1210.0,471.0,4.447761194029852,5.047619047619048,1980.641791044776,1984.428571428572,Красноярский край,189.1305813008761,S31020,2020-01-05,110,1
Красноярск,1.0,COL_2884,56.05218831894018,92.91959078821408,0,25,51,94,0,0,0,0,0,8,9,19,5.267791656959784,Красноярск,1095286.0,0.2004845471927416,0,20,42,71,0,0,0,0,0,5,6,12,0,2,4,0,0,0,1,2,4,0,0,2,0,2,3,7,0,12,31,51,1.944763273835012,6.059235017979058,0,0,0,0.1881317710169826,6,15,24,79601.59265911028,91,24,3830.0,1305.0,12.522222222222226,11.375,2007.6888888888889,2007.166666666667,Красноярский край,95.76441557702374,S2336,2020-01-05,10,1
Новокузнецк,1.0,COL_3293,53.76575654881086,87.12126483952999,1,16,62,92,0,0,0,0,0,0,6,14,1.4950156266547256,Новокузнецк,552105.0,0.0355894372205826,4,21,27,41,0,1,5,8,0,1,3,4,1,4,5,2,11,15,0,0,0,1,3,5,0,3,5,6,1,10,27,37,303.1001364572158,4.316634442659106,0,0,0,0.0852508361929154,14,18,24,38378.88822953004,259,58,4219.0,1011.0,4.9004149377593365,4.865384615384615,1957.362139917696,1956.1296296296296,Кемеровская область,144.53258694794468,S32173,2020-01-05,10,1
Самара,1.0,COL_3298,53.18994302817735,50.10586083502573,1,15,44,113,1,1,1,1,0,5,15,33,1.1397530697859228,Самара,1156644.0,0.0503597337612951,4,61,118,188,1,2,3,13,0,0,3,8,2,3,6,1,7,13,1,1,1,0,1,1,0,1,2,7,0,3,8,28,2.926431768227564,1.3975932869412275,0,0,0,0.0245672957808447,14,31,42,47761.3618777348,238,72,2325.0,365.0,4.678899082568806,3.1904761904761907,1795.5194805194806,1720.2857142857142,Самарская область,241.84821256918136,S22661,2020-01-05,100,1
Сургут,,COL_3427,61.24003162255296,73.44251956329376,6,59,117,169,0,0,0,0,1,4,11,16,2.7877181835827805,Сургут,380632.0,0.041716556066878,2,7,29,53,0,0,0,0,0,2,6,10,7,11,12,0,0,0,1,1,2,0,1,5,1,2,4,7,4,43,86,125,694.1929938043567,8.350406413526889,0,0,0,0.0824017957058738,3,11,20,56854.985577308165,78,30,2485.0,1034.0,6.756410256410256,7.866666666666666,1992.043478260869,1992.833333333333,Ханты-Мансийский АО,136.34688183078111,S10936,2020-01-05,100,1
Екатеринбург,2.0,COL_3438,56.83266354687392,60.6330014494981,5,66,138,249,0,0,0,0,1,10,22,41,1.779011855069711,Екатеринбург,1468833.0,0.0560427915009885,2,7,14,35,0,0,1,6,0,0,8,18,3,9,17,0,0,3,1,5,7,0,4,9,0,4,9,14,4,49,86,148,2.4224719234499283,0.9487019618224064,0,0,2,0.0779010868190808,10,21,35,38801.44530765148,154,44,3096.0,781.0,5.9256756756756745,6.125,1967.2953020134228,1966.2,Свердловская область,128.4745957392721,S5897,2020-01-05,110,1
Санкт-Петербург,,COL_3457,59.93949486489604,30.35656026846814,9,288,761,1331,0,2,10,20,3,120,276,483,2.2462616547891314,Санкт-Петербург,5381736.0,0.0807321217588988,0,41,114,219,0,10,30,49,0,7,24,48,6,34,66,6,9,29,31,80,139,6,21,35,2,29,94,166,4,150,435,752,0.7046691856056891,1.1198698878738778,0,0,0,0.1190005161907079,8,29,69,186229.22808532717,412,115,7246.0,2286.0,4.730077120822622,4.738738738738738,1881.832474226804,1876.675675675676,Санкт-Петербург,359.6803825514946,S10673,2020-01-05,100,1
Первоуральск,,COL_3539,56.911206834986345,59.964157032793246,5,20,37,74,0,0,0,0,2,4,7,10,1.4129087057493823,Первоуральск,123655.0,0.1127633205893811,0,6,14,25,0,0,0,1,0,1,2,4,0,1,2,0,0,1,1,1,2,0,0,1,0,0,1,2,3,14,24,51,18.673635789129776,2.774410389429894,0,0,0,0.0975359311551416,3,9,15,59696.89306595287,106,40,2342.0,875.0,6.438095238095237,6.102564102564102,1978.9238095238093,1977.0,Свердловская область,117.09152086487111,S4799,2020-01-05,10,1
Петрозаводск,,COL_3675,61.75345029528592,34.35803738395576,0,6,7,23,0,0,0,0,0,0,0,0,4.260697305444852,Петрозаводск,280170.0,0.0638058145593954,0,2,5,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,5,0,1,1,1,0,3,4,15,293.162544169091,90.68098721116384,0,0,0,0.5332779307334735,0,2,7,37385.397269097884,40,13,1299.0,463.0,9.384615384615383,12.923076923076923,1990.794871794872,2004.3076923076928,Карелия,192.90954561987,S29017,2020-01-05,10,1
Томск,1.0,COL_3718,56.51908177809688,84.9820633974576,1,38,87,159,0,0,0,0,0,4,7,14,3.5817206070870578,Томск,576624.0,0.0674076773320636,2,8,12,18,0,0,0,0,0,1,2,5,2,4,6,1,1,1,0,0,1,0,5,11,1,1,2,2,1,27,64,118,206.7990031985414,1.7082947850747543,0,0,0,0.06819271226366,9,17,22,79594.82689319228,130,29,3666.0,779.0,7.144144144144144,7.090909090909091,1984.9469026548672,1982.0869565217392,Томская область,48.7720138547349,S32174,2020-01-12,100,1
Ангарск,,COL_3724,52.51072777718471,103.87904467163524,1,21,41,74,1,1,1,1,0,3,5,8,2.4841726126668084,Ангарск,226374.0,0.1235038972819849,0,6,13,32,0,1,1,1,0,0,1,5,1,2,5,0,0,0,0,0,0,0,1,2,0,0,1,6,0,11,24,42,62.36331700996972,5.283805395870188,0,0,0,0.215248790645498,4,6,13,35348.139153344084,88,21,2535.0,859.0,5.431818181818182,5.190476190476192,1978.0568181818185,1974.7142857142856,Иркутская область,394.5610811221602,S8644,2020-01-12,10,1
Владивосток,,COL_3756,43.131906759387455,131.89324456720976,1,28,58,131,0,0,0,0,0,5,12,22,2.0986310179644936,Владивосток,604901.0,0.2654910624115462,0,10,16,25,0,0,0,1,0,0,1,4,1,9,13,2,2,7,0,0,2,1,3,5,0,0,2,13,1,17,31,85,2271.747398488051,1.011444011192532,0,0,0,0.1066468227649577,6,7,13,106465.69996894694,148,67,2733.0,1373.0,7.731034482758621,7.626865671641791,1972.2465753424656,1973.8805970149251,Приморский край,97.41165467399296,S27523,2020-01-12,110,1
